"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"1","CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0107759343","Đang hoạt động"
"2","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"3","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"4","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"5","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"6","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ CHAILEASE","0313918084","Đang hoạt động"
"7","Không tìm thấy","314209228","Không tồn tại / Lỗi tra cứu"
"8","CÔNG TY CỔ PHẦN NOVAON DIGITAL","0101990346","Đang hoạt động"
"9","CÔNG TY CHO THUÊ TÀI CHÍNH TNHH MỘT THÀNH VIÊN NGÂN HÀNG THƯONG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM","0101047075","Đang hoạt động"
"10","CÔNG TY ĐIỆN LỰC HOÀI ĐỨC","0100101114-035","Ngừng hoạt động và đã hoàn thành thủ tục chấm dứt hiệu lực MST"
"11","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động"
"12","CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI SÔNG HỒNG","0100237411","Đang hoạt động"
"13","Không tìm thấy","316870070","Không tồn tại / Lỗi tra cứu"
"14","Không tìm thấy","2300107759343","Không tồn tại / Lỗi tra cứu"
"15","Công ty bảo hiểm BSH Hà Nội","0103085460-012","Đang hoạt động"
"16","CÔNG TY CỔ PHẦN MỰC IN Á CHÂU","0200761562","Đang hoạt động"
"17","CÔNG TY CỔ PHẦN BAO BÌ NHỰA THIÊN HÀ","0900213804","Đang hoạt động"
"18","Chi nhánh công ty liên doanh TNHH In Mei Việt Nam","3700387904-001","Đang hoạt động"
"19","Không tìm thấy","0313918084","Không tồn tại / Lỗi tra cứu"
"20","Không tìm thấy","314209228","Không tồn tại / Lỗi tra cứu"
"21","Không tìm thấy","0101990346","Không tồn tại / Lỗi tra cứu"
"22","Không tìm thấy","0101047075","Không tồn tại / Lỗi tra cứu"
"23","Không tìm thấy","0100101114-035","Không tồn tại / Lỗi tra cứu"
"24","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động"
"25","Không tìm thấy","0100237411","Không tồn tại / Lỗi tra cứu"
"26","Không tìm thấy","316870070","Không tồn tại / Lỗi tra cứu"
"27","CÔNG TY TNHH YUNCHENG PLATE MAKING (BẮC NINH)","2300998287","Đang hoạt động"
"28","CÔNG TY CỔ PHẦN XĂNG DẦU HFC","0100108159","Đang hoạt động"
"29","Không tìm thấy","0107090486","Không tồn tại / Lỗi tra cứu"
"30","Không tìm thấy","0101243150","Không tồn tại / Lỗi tra cứu"
"31","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu"
"32","CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TRAN DUONG FORKLIFTS","0108431890","Đang hoạt động"
"33","Không tìm thấy","0311072367","Không tồn tại / Lỗi tra cứu"
"34","Không tìm thấy","0107616419","Không tồn tại / Lỗi tra cứu"
"35","CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH","0303217354-001","Đang hoạt động"
"36","Không tìm thấy","0302588268","Không tồn tại / Lỗi tra cứu"
"37","Không tìm thấy","0102385623-057","Không tồn tại / Lỗi tra cứu"
"38","Không tìm thấy","0104912402","Không tồn tại / Lỗi tra cứu"
"39","CÔNG TY TNHH SAKATA INX VIỆT NAM","0303177976","Đang hoạt động"
"40","Không tìm thấy","0314446814","Không tồn tại / Lỗi tra cứu"
"41","Không tìm thấy","0100150619-077","Không tồn tại / Lỗi tra cứu"
"42","TRUNG TÂM KINH DOANH VNPT - HÀ NỘI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG","0106869738-002","Ngừng HĐ nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực MST"
"43","Không tìm thấy","0101566426","Không tồn tại / Lỗi tra cứu"
"44","Không tìm thấy","3600668186","Không tồn tại / Lỗi tra cứu"
"45","CÔNG TY TNHH SAM ASIA","2301081870","Đang hoạt động"
"46","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"47","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"48","Văn phòng công chứng Phạm Thu Nga","0105886603","Đang hoạt động"
"49","Không tìm thấy","2300945951","Không tồn tại / Lỗi tra cứu"
"50","Không tìm thấy","0302077030-002","Không tồn tại / Lỗi tra cứu"
"51","Không tìm thấy","0104805312","Không tồn tại / Lỗi tra cứu"
"52","CÔNG TY CỔ PHẦN SẢN XUẤT VÀ XUẤT NHẬP KHẨU MINH THƯ","0105255220","Đang hoạt động"
"53","Không tìm thấy","0106382510","Không tồn tại / Lỗi tra cứu"
"54","Không tìm thấy","0108967850","Không tồn tại / Lỗi tra cứu"
"55","Không tìm thấy","0103420630","Không tồn tại / Lỗi tra cứu"
"56","CÔNG TY TNHH DỊCH VỤ ĐẦU TƯ VINH HẠNH","0100235358","Đang hoạt động"
"57","Không tìm thấy","0100107564-001","Không tồn tại / Lỗi tra cứu"
"58","Không tìm thấy","0107779847","Không tồn tại / Lỗi tra cứu"
"59","Không tìm thấy","0105867262","Không tồn tại / Lỗi tra cứu"
"60","Công ty Cổ phần Tập đoàn bảo hiểm DBV – Chi nhánh Đông Đô","0102737963-012","Đang hoạt động"
"61","Không tìm thấy","0102721191-068","Không tồn tại / Lỗi tra cứu"
"62","Không tìm thấy","0308113486","Không tồn tại / Lỗi tra cứu"
"63","CÔNG TY CỔ PHẦN CÔNG NGHỆ BAO BÌ PHƯƠNG BẮC","0104050365","Đang hoạt động"
"64","Không tìm thấy","1101272587","Không tồn tại / Lỗi tra cứu"
"65","Không tìm thấy","0100150619-186","Không tồn tại / Lỗi tra cứu"
"66","Không tìm thấy","1100719199-003","Không tồn tại / Lỗi tra cứu"
"67","CÔNG TY CỔ PHẦN AMIGO VIỆT NAM","0900554265","Đang hoạt động"
"68","Không tìm thấy","0500238177","Không tồn tại / Lỗi tra cứu"
"69","Không tìm thấy","0102737963-010","Không tồn tại / Lỗi tra cứu"
"70","CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ HOÀNG PHÚC","0109929294","Đang hoạt động"
"71","Không tìm thấy","0101300842","Không tồn tại / Lỗi tra cứu"
"72","Không tìm thấy","0101079327","Không tồn tại / Lỗi tra cứu"
"73","CÔNG TY TNHH THƯƠNG MẠI MÁY MÓC THIẾT BỊ KIM CƯƠNG","0310762079","Đang hoạt động"
"74","Không tìm thấy","0102258103","Không tồn tại / Lỗi tra cứu"
"75","Không tìm thấy","0109299941","Không tồn tại / Lỗi tra cứu"
"76","Không tìm thấy","0107571302","Không tồn tại / Lỗi tra cứu"
"77","CÔNG TY TNHH SXTM BẢO THẮNG","0105969306","Đang hoạt động"
"78","Không tìm thấy","0101214914","Không tồn tại / Lỗi tra cứu"
"79","Không tìm thấy","0105992390","Không tồn tại / Lỗi tra cứu"
"80","Không tìm thấy","0107950276","Không tồn tại / Lỗi tra cứu"
"81","Công ty Bảo hiểm VIETINBANK Hà Thành","0101335193-029","Đang hoạt động"
"82","Không tìm thấy","0108240254","Không tồn tại / Lỗi tra cứu"
"83","Không tìm thấy","0900270665","Không tồn tại / Lỗi tra cứu"
"84","CÔNG TY XĂNG DẦU HÀ SƠN BÌNH - CÔNG TY TNHH MỘT THÀNH VIÊN","0500232954","Ngừng HĐ nhưng chưa hoàn thành thủ tục chấm dứt hiệu lực MST"
"85","Không tìm thấy","3700626944","Không tồn tại / Lỗi tra cứu"
"86","Không tìm thấy","0107963571","Không tồn tại / Lỗi tra cứu"
"87","Không tìm thấy","3700371100","Không tồn tại / Lỗi tra cứu"
"88","CÔNG TY CỔ PHẦN KINH DOANH THIẾT BỊ ĐO LƯỜNG","0106597837","Đang hoạt động"
"89","Không tìm thấy","0314527622","Không tồn tại / Lỗi tra cứu"
"90","Không tìm thấy","0108075931","Không tồn tại / Lỗi tra cứu"
"91","Không tìm thấy","0900254328","Không tồn tại / Lỗi tra cứu"
"92","CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC","2300243293","Đang hoạt động"
"93","Không tìm thấy","0109576338","Không tồn tại / Lỗi tra cứu"
"94","Không tìm thấy","0100107564","Không tồn tại / Lỗi tra cứu"
"95","CÔNG TY TNHH QUẢN LÝ NỢ VÀ KHAI THÁC TÀI SẢN NGÂN HÀNG Á CHÂU","0303539425","Đang hoạt động"
"96","Không tìm thấy","0101508664-002","Không tồn tại / Lỗi tra cứu"
"97","Không tìm thấy","0101904467","Không tồn tại / Lỗi tra cứu"
"98","CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI NHỰA TRỌNG TẤN","0305723148","Đang hoạt động"
"99","Không tìm thấy","2500726308","Không tồn tại / Lỗi tra cứu"
"100","Không tìm thấy","0100112437-172","Không tồn tại / Lỗi tra cứu"
"101","Không tìm thấy","0101744118","Không tồn tại / Lỗi tra cứu"
"102","Phòng công chứng số 4 thành phố Hà Nội","0101365991","Đang hoạt động"
"103","Không tìm thấy","0305992006","Không tồn tại / Lỗi tra cứu"
"104","Không tìm thấy","0109570209","Không tồn tại / Lỗi tra cứu"
